,symbol,date,open,close,volume,spread,up/down
145,BTC,2013-09-20,129.7,127.04,0.0,8.94,DOWN
146,BTC,2013-09-21,126.95,127.43,0.0,2.37,UP
147,BTC,2013-09-22,127.87,129.12,0.0,7.35,UP
148,BTC,2013-09-23,128.98,125.95,0.0,7.06,DOWN
149,BTC,2013-09-24,126.05,127.25,0.0,2.07,UP
150,BTC,2013-09-25,127.38,128.22,0.0,2.36,UP
151,BTC,2013-09-26,128.21,128.38,0.0,7.61,UP
152,BTC,2013-09-27,128.94,133.78,0.0,6.25,UP
153,BTC,2013-09-28,133.77,134.78,0.0,3.07,UP
154,BTC,2013-09-29,134.9,137.34,0.0,5.9,UP
155,BTC,2013-09-30,137.15,133.0,0.0,8.08,DOWN
156,BTC,2013-10-01,132.68,132.18,0.0,3.08,DOWN
157,BTC,2013-10-02,132.05,114.13,0.0,31.34,DOWN
158,BTC,2013-10-03,114.45,123.63,0.0,11.81,UP
159,BTC,2013-10-04,123.41,129.01,0.0,6.68,UP
160,BTC,2013-10-05,128.63,128.55,0.0,2.41,DOWN
161,BTC,2013-10-06,128.36,129.0,0.0,3.51,UP
162,BTC,2013-10-07,129.43,126.94,0.0,3.91,DOWN
163,BTC,2013-10-08,126.74,126.0,0.0,2.76,DOWN
164,BTC,2013-10-09,125.85,130.69,0.0,6.17,UP
165,BTC,2013-10-10,130.67,130.59,0.0,2.24,DOWN
166,BTC,2013-10-11,130.75,130.9,0.0,2.17,UP
167,BTC,2013-10-12,130.9,135.19,0.0,5.1,UP
168,BTC,2013-10-13,135.19,138.13,0.0,4.11,UP
169,BTC,2013-10-14,139.27,140.52,0.0,5.22,UP
170,BTC,2013-10-15,140.77,145.24,0.0,6.26,UP
171,BTC,2013-10-16,145.65,142.55,0.0,9.8,DOWN
172,BTC,2013-10-17,142.41,146.25,0.0,5.01,UP
173,BTC,2013-10-18,146.37,155.96,0.0,10.39,UP
174,BTC,2013-10-19,155.91,172.42,0.0,21.78,UP
175,BTC,2013-10-20,171.66,174.61,0.0,5.96,UP
176,BTC,2013-10-21,174.8,182.21,0.0,10.02,UP
177,BTC,2013-10-22,182.65,193.76,0.0,13.62,UP
178,BTC,2013-10-23,193.36,213.62,0.0,21.24,UP
179,BTC,2013-10-24,214.3,198.23,0.0,48.9,DOWN
180,BTC,2013-10-25,197.69,186.69,0.0,30.37,DOWN
181,BTC,2013-10-26,187.45,177.32,0.0,12.66,DOWN
182,BTC,2013-10-27,176.6,196.44,0.0,19.84,UP
